노드번호	갈수있는 노드	epsg3857	placeCode
363	"364,519"	"14096224.692883182,4491523.025788123"	ZB
364	"365,366"	"14096267.985033158,4491496.13023274"	-
365	367	"14096296.371503312,4491472.526637992"	-
366	367	"14096277.068703603,4491505.291523559"	OFGF
367	368	"14096305.733472485,4491484.993811993"	-
368	0	"14096308.89494602,4491497.909259537"	SU
369	"373,370"	"14096390.258361842,4491479.096416606"	-
370	371	"14096403.249346416,4491470.887695992"	-
371	"372,373"	"14096428.474343035,4491504.324964976"	-
372	496	"14096436.244443487,4491514.032579128"	-
373	"374,375"	"14096417.130886924,4491512.673792772"	-
374	"376,399"	"14096411.609440174,4491517.604647201"	-
375	"400,496"	"14096442.656446163,4491546.573463708"	-
376	"377,379"	"14096385.026345778,4491538.518779922"	-
377	0	"14096391.00420243,4491549.108939359"	SV
378	379	"14096349.6490116,4491547.315895742"	SU
379	"380,383"	"14096356.973834094,4491558.214243706"	-
380	"381,382"	"14096335.622755762,4491569.714954784"	OFSC
381	"391,390"	"14096276.055696238,4491615.549826054"	OFSC
382	"383,386"	"14096379.527162928,4491615.70391673"	OFSC
383	385	"14096386.250860173,4491609.722398564"	-
384	479	"14096696.309037883,4491467.231595531"	-
385	"386,388"	"14096407.902501132,4491626.728409952"	SV
386	387	"14096395.813204434,4491634.643078674"	OFSC
387	"388,389,394"	"14096407.757785793,4491649.575903511"	OFSC
388	"389,397"	"14096415.071476337,4491644.504904326"	-
389	"394,395"	"14096423.142139424,4491653.904465519"	-
390	"393,394"	"14096356.194597658,4491721.172509512"	OFSC
391	"393,394"	"14096360.870016273,4491733.766054155"	-
392	"393,468"	"14096379.527162928,4491744.216326244"	-
393	"394,395"	"14096407.590806562,4491696.447741078"	-
394	395	"14096430.444698017,4491680.4782331865"	-
395	396	"14096454.311596844,4491657.630672431"	-
396	397	"14096467.447296757,4491648.679373087"	-
397	404	"14096447.14262164,4491620.606803009"	-
398	399	"14096453.866318878,4491590.447084503"	SV
399	"400,404"	"14096461.770002726,4491584.017318275"	-
400	"401,403"	"14096466.84617151,4491579.548703106"	-
401	"403,402,496"	"14096483.265796397,4491575.514343707"	-
402	"403,406,497,474"	"14096495.366225053,4491592.240135483"	-
403	"404,406"	"14096480.137718711,4491597.171027254"	-
404	405	"14096474.91683459,4491600.603041358"	-
405	406	"14096484.167484272,4491614.639290296"	SW
406	407	"14096491.78173745,4491609.414217392"	-
407	"409,497"	"14096515.515052881,4491642.109488439"	-
408	"497,473,411,409"	"14096548.654865291,4491661.819154713"	-
409	410	"14096536.710283931,4491671.078648221"	-
410	412	"14096538.357812393,4491690.788368838"	-
411	"472,414"	"14096587.327256393,4491712.585373711"	-
412	413	"14096565.831462722,4491729.899736285"	ZC
413	"416,418"	"14096590.911743995,4491762.441289436"	-
414	415	"14096614.210913423,4491748.713028289"	-
415	417	"14096624.808528941,4491766.181543283"	-
416	418	"14096612.118106995,4491774.096317057"	-
417	419	"14096650.935213435,4491799.171480408"	-
418	"421,423"	"14096644.21151619,4491823.364166798"	-
419	420	"14096672.275159817,4491826.347982006"	-
420	422	"14096685.51104727,4491834.641031545"	-
421	"422,424"	"14096656.28968094,4491840.090353133"	-
422	"499,498"	"14096663.113565732,4491851.661415543"	-
423	"471,424,425"	"14096597.012052093,4491858.1613883935"	-
424	"425,499"	"14096619.854811605,4491868.61178421"	-
425	426	"14096610.74887726,4491880.561110128"	-
426	"427,431"	"14096604.036311958,4491894.457646927"	-
427	"428,429,499"	"14096616.838053402,4491898.253982253"	-
428	0	"14096637.031409029,4491904.459802734"	SX
429	"433,434,499"	"14096606.574396353,4491924.478151567"	-
430	"431,470,471"	"14096519.22199193,4491916.269082982"	-
431	432	"14096563.259982485,4491960.4524390325"	-
432	433	"14096553.864617463,4491969.866291601"	-
433	436	"14096565.063358236,4491983.903033864"	-
434	0	"14096652.40463071,4491950.310143026"	SX
435	436	"14096641.506452564,4492076.024873644"	-
436	0	"14096690.331181224,4492041.240939284"	-
437	438	"14096082.23733082,4491405.274193814"	-
438	439	"14096079.075857278,4491380.676240094"	-
439	463	"14096048.318281967,4491374.10652302"	-
440	462	"14096666.397490699,4490932.319985187"	-
441	517	"14096340.053271499,4491236.311506152"	-
442	0	"14097038.861374948,4491727.084049167"	-
443	0	"14097049.303143185,4491800.544312306"	-
444	0	"14097068.116137128,4491562.878964223"	IKD
445	0	"14096826.998120073,4491364.02082463"	-
446	0	"14096658.148716439,4491498.231445525"	-
447	0	"14096630.229788143,4491503.610552169"	-
448	0	"14096610.080960315,4491608.405624531"	-
449	451	"14096451.383894239,4491422.391938182"	SMK17
450	0	"14096474.827778999,4491406.11467161"	"FOODTOM,FOODMEL,FOODGOG,CAFEJC"
451	0	"14096466.311837953,4491439.845902648"	-
452	0	"14096738.777423616,4492035.175126035"	-
453	454	"14096807.005139526,4491984.113164876"	-
454	0	"14096860.605474342,4491943.36183539"	-
455	456	"14097111.864697013,4491507.86901355"	-
456	457	"14097066.479740616,4491444.874779008"	-
457	458	"14097029.454877976,4491393.521519676"	-
458	459	"14096973.91758402,4491318.873435076"	-
459	460	"14096897.485621642,4491216.154391285"	-
